"SESBLOG_PLUGIN";"Advanced Blog Plugin"
"ACTIVITY_TYPE_SESBLOG_REMOVEADMINRE";"When admin remove request for the blog approval."
"ACTIVITY_TYPE_SESBLOG_SUBSCRIBED_NEW";"When a new Blog entry is posted by a member you have subscribed to."
"ACTIVITY_TYPE_SESUSER_CLAIM_BLOG";"When someone claims your Blog."
"ADMIN_ACTIVITY_TYPE_SESBLOG_NEW";"When a new Blog entry is posted."
"ADMIN_ACTIVITY_TYPE_COMMENT_SESBLOG";"When a user (subject) comments on another user's (object) Blog."
"ADMIN_ACTIVITY_TYPE_SESBLOG_BLOG_FAVOURITE";"When a user (subject) mark another user's (object) Blog as favourite."
"ADMIN_ACTIVITY_TYPE_SESBLOG_BLOG_LIKE";"When a user (subject) likes another user's (object) Blog."
"ADMIN_ACTIVITY_TYPE_SESBLOG_ALBUM_LIKE";"When a user (subject) likes another user's (object) Blog's album."
"ADMIN_ACTIVITY_TYPE_SESBLOG_PHOTO_LIKE";"When a user (subject) likes another user's (object) Blog album's photo."
"SES - Advanced Blog Plugin";"SES - Advanced Blog Plugin"
"_EMAIL_SESBLOG_ADMIN_APPROVAL_TITLE";"Blog Created and waiting for approval"
"_EMAIL_SESBLOG_ADMIN_APPROVAL_DESCRIPTION";" This email will be sent to the admin for approving the blog when someone creates a blog."
"_EMAIL_SESBLOG_ADMIN_APPROVAL_SUBJECT";"New Blog is waiting for Admin Approval."
"_EMAIL_SESBLOG_ADMIN_APPROVAL_BODY";"[header]

Someone has created a blog on your website, please take action to approve or disapprove that blog.

http://[host][object_link]

[footer]"
